año,fecha,familia,id_ciudad,cantidad
2019,1,ADITIVOS,ALTAMIRA,8.25
2019,1,ADITIVOS,BARRANQUILLA,4.375
2019,1,ADITIVOS,BOGOTA,15.2
2019,1,ADITIVOS,BUCARAMANGA,0.35
2019,1,ADITIVOS,CALI,0.525
2019,1,ADITIVOS,CARTAGENA,53.7
2019,1,ADITIVOS,COTA,0.1
2019,1,ADITIVOS,ENVIGADO,0.225
2019,1,ADITIVOS,FUNZA,0.025
2019,1,ADITIVOS,GINEBRA,0.425
2019,1,ADITIVOS,GUACHENE,3.5
2019,1,ADITIVOS,GUAYAQUIL,7.45
2019,1,ADITIVOS,HAINA,11.35
2019,1,ADITIVOS,LIMA,3.0
2019,1,ADITIVOS,MANIZALES,1.3
2019,1,ADITIVOS,MEDELLIN,11.025
2019,1,ADITIVOS,MIXCO,8.5
2019,1,ADITIVOS,PALMIRA,0.075
2019,1,ADITIVOS,PEREIRA,0.15
2019,1,ADITIVOS,SANTO DOMINGO,7.0
2019,1,ADITIVOS,SOACHA,4.6
2019,1,ADITIVOS,TOCANCIPA,0.025
2019,1,ADITIVOS,ZIPAQUIRA,0.75
2019,1,ANTIFIBRILANTES,BARRANQUILLA,3.0
2019,1,ANTIFIBRILANTES,BOGOTA,40.0
2019,1,ANTIFIBRILANTES,BUENOS AIRES,27.0
2019,1,ANTIFIBRILANTES,CALI,1.0
2019,1,ANTIFIBRILANTES,CAMBUI,104.0
2019,1,ANTIFIBRILANTES,CARTAGENA,156.075
2019,1,ANTIFIBRILANTES,ENVIGADO,0.5
2019,1,ANTIFIBRILANTES,FUNZA,7.0
2019,1,ANTIFIBRILANTES,GIRON,0.4
2019,1,ANTIFIBRILANTES,GUAYAQUIL,54.0
2019,1,ANTIFIBRILANTES,ITAGUI,70.0
2019,1,ANTIFIBRILANTES,LA ESTRELLA,0.3
2019,1,ANTIFIBRILANTES,LIMA,10.0
2019,1,ANTIFIBRILANTES,MANIZALES,0.025
2019,1,ANTIFIBRILANTES,MEDELLIN,18.45
2019,1,ANTIFIBRILANTES,MIGUEL HIDALGO,0.05
2019,1,ANTIFIBRILANTES,PATZICIA,46.0
2019,1,ANTIFIBRILANTES,RIONEGRO,30.0
2019,1,ANTIFIBRILANTES,VILLANUEVA,1.0
2019,1,ANTIFIBRILANTES,YUMBO,0.225
2019,1,ANTIFIBRILANTES,ZIPAQUIRA,2.5
2019,1,AYUDAS DE PROCESO,ARMENIA,6.0
2019,1,AYUDAS DE PROCESO,BARRANQUILLA,70.1
2019,1,AYUDAS DE PROCESO,BOGOTA,10.225
2019,1,AYUDAS DE PROCESO,BUENOS AIRES,135.0
2019,1,AYUDAS DE PROCESO,CALI,13.275
2019,1,AYUDAS DE PROCESO,CAMBUI,104.0
2019,1,AYUDAS DE PROCESO,CARTAGENA,338.525
2019,1,AYUDAS DE PROCESO,CHOLOMA,3.0
2019,1,AYUDAS DE PROCESO,COTA,5.5
2019,1,AYUDAS DE PROCESO,GIRARDOTA,26.35
2019,1,AYUDAS DE PROCESO,GUARNE,0.1
2019,1,AYUDAS DE PROCESO,HAINA,22.825
2019,1,AYUDAS DE PROCESO,ITAGUI,3.9
2019,1,AYUDAS DE PROCESO,LA ESTRELLA,15.0
2019,1,AYUDAS DE PROCESO,LOS PATIOS,8.0
2019,1,AYUDAS DE PROCESO,MANAUS,84.0
2019,1,AYUDAS DE PROCESO,MEDELLIN,23.875
2019,1,AYUDAS DE PROCESO,SABANETA,1.5
2019,1,AYUDAS DE PROCESO,SANTO DOMINGO,130.0
2019,1,AYUDAS DE PROCESO,VILLANUEVA,72.0
2019,1,COMPUESTOS FLEXIBLES,BOGOTA,0.575
2019,1,COMPUESTOS FLEXIBLES,CALI,0.1
2019,1,COMPUESTOS FLEXIBLES,CARTAGENA,0.1
2019,1,COMPUESTOS FLEXIBLES,ITAGUI,0.05
2019,1,COPOLIMERO IMPACTO,ATLACOMULCO,60.0
2019,1,COPOLIMERO IMPACTO,BARRANQUILLA,32.925
2019,1,COPOLIMERO IMPACTO,BELEN,12.0
2019,1,COPOLIMERO IMPACTO,BOGOTA,548.725
2019,1,COPOLIMERO IMPACTO,BUCARAMANGA,12.15
2019,1,COPOLIMERO IMPACTO,CALI,322.125
2019,1,COPOLIMERO IMPACTO,CALLAO,357.0
2019,1,COPOLIMERO IMPACTO,CAMBUI,670.5
2019,1,COPOLIMERO IMPACTO,CARTAGENA,22.025
2019,1,COPOLIMERO IMPACTO,CHESHIRE,254.8
2019,1,COPOLIMERO IMPACTO,CHICLAYO,22.0
2019,1,COPOLIMERO IMPACTO,CIUDAD DE GUATEMALA,24.0
2019,1,COPOLIMERO IMPACTO,CIUDAD OBREGON,9.25
2019,1,COPOLIMERO IMPACTO,COCHABAMBA,100.0
2019,1,COPOLIMERO IMPACTO,COPACABANA,36.5
2019,1,COPOLIMERO IMPACTO,COTA,27.75
2019,1,COPOLIMERO IMPACTO,CRICIUMA,0.025
2019,1,COPOLIMERO IMPACTO,CUAUTITLAN IZCALLI,64.6
2019,1,COPOLIMERO IMPACTO,CURRIDABAT,15.6
2019,1,COPOLIMERO IMPACTO,ENVIGADO,4.225
2019,1,COPOLIMERO IMPACTO,FUNZA,27.0
2019,1,COPOLIMERO IMPACTO,GENERAL PACHECO,27.0
2019,1,COPOLIMERO IMPACTO,GINEBRA,34.0
2019,1,COPOLIMERO IMPACTO,GIRON,0.025
2019,1,COPOLIMERO IMPACTO,GUACHENE,23.0
2019,1,COPOLIMERO IMPACTO,GUAYAMA,10.2
2019,1,COPOLIMERO IMPACTO,GUAYAQUIL,398.175
2019,1,COPOLIMERO IMPACTO,ITAGUI,1.0
2019,1,COPOLIMERO IMPACTO,ITAJAI,63.0
2019,1,COPOLIMERO IMPACTO,IZTACALCO,260.0
2019,1,COPOLIMERO IMPACTO,JOINVILLE,6.0
2019,1,COPOLIMERO IMPACTO,LA ESTRELLA,84.425
2019,1,COPOLIMERO IMPACTO,LA PAZ,50.0
2019,1,COPOLIMERO IMPACTO,LAMPA,25.0
2019,1,COPOLIMERO IMPACTO,LIMA,410.0
2019,1,COPOLIMERO IMPACTO,MADRID,16.5
2019,1,COPOLIMERO IMPACTO,MAIPU,350.0
2019,1,COPOLIMERO IMPACTO,MANAUS,114.0
2019,1,COPOLIMERO IMPACTO,MANIZALES,20.8
2019,1,COPOLIMERO IMPACTO,MANTA,5.0
2019,1,COPOLIMERO IMPACTO,MARACAY,0.075
2019,1,COPOLIMERO IMPACTO,MEDELLIN,86.0
2019,1,COPOLIMERO IMPACTO,MIGUEL HIDALGO,0.1
2019,1,COPOLIMERO IMPACTO,MISSISSAUGA,25.0
2019,1,COPOLIMERO IMPACTO,MOSQUERA,4.3
2019,1,COPOLIMERO IMPACTO,ORURO,10.0
2019,1,COPOLIMERO IMPACTO,PAINE,50.0
2019,1,COPOLIMERO IMPACTO,PALMIRA,9.5
2019,1,COPOLIMERO IMPACTO,PATZICIA,72.0
2019,1,COPOLIMERO IMPACTO,PEREIRA,3.0
2019,1,COPOLIMERO IMPACTO,PORTO VELHO,51.0
2019,1,COPOLIMERO IMPACTO,PUEBLA,40.0
2019,1,COPOLIMERO IMPACTO,QUILICURA,25.0
2019,1,COPOLIMERO IMPACTO,REG DE MEXICO,502.0
2019,1,COPOLIMERO IMPACTO,REG DE PERU,54.0
2019,1,COPOLIMERO IMPACTO,REG DE VENEZUELA,6.0
2019,1,COPOLIMERO IMPACTO,RIONEGRO,42.1
2019,1,COPOLIMERO IMPACTO,RODEIO,51.0
2019,1,COPOLIMERO IMPACTO,SABANETA,0.225
2019,1,COPOLIMERO IMPACTO,SAINT-PLACIDE,120.0
2019,1,COPOLIMERO IMPACTO,SAN BERNARDO,135.0
2019,1,COPOLIMERO IMPACTO,SAN JUAN DEL RIO,20.0
2019,1,COPOLIMERO IMPACTO,SAN PEDRO SULA,48.0
2019,1,COPOLIMERO IMPACTO,SANTA CRUZ DO SUL,51.0
2019,1,COPOLIMERO IMPACTO,SANTA ROSA JAUREGUI,120.0
2019,1,COPOLIMERO IMPACTO,SANTO DOMINGO,104.0
2019,1,COPOLIMERO IMPACTO,SAO PAULO,48.0
2019,1,COPOLIMERO IMPACTO,SOACHA,0.5
2019,1,COPOLIMERO IMPACTO,SOROCABA,175.0
2019,1,COPOLIMERO IMPACTO,TABIO,3.0
2019,1,COPOLIMERO IMPACTO,TENJO,12.5
2019,1,COPOLIMERO IMPACTO,TIBAS,16.0
2019,1,COPOLIMERO IMPACTO,TOCANCIPA,94.0
2019,1,COPOLIMERO IMPACTO,TOLUCA,20.0
2019,1,COPOLIMERO IMPACTO,VILLA RICA,16.0
