id_ciudad_origen,id_ciudad_destino,capacidad,costo
ABOD,ABOD,1.0,64488.0
ABOD,APARTADO,1.0,64488.0
ABOD,ARMENIA,4.5,1170000.0
ABOD,ARMENIA,8.5,1270000.0
ABOD,ARMENIA,17.0,2000000.0
ABOD,ARMENIA,34.0,3600000.0
ABOD,BARRANCABERMEJA,4.5,1220000.0
ABOD,BARRANCABERMEJA,8.5,1340000.0
ABOD,BARRANCABERMEJA,17.0,2290000.0
ABOD,BARRANCABERMEJA,34.0,2590000.0
ABOD,BARRANQUILLA,4.5,1580000.0
ABOD,BARRANQUILLA,8.5,2190000.0
ABOD,BARRANQUILLA,17.0,2310000.0
ABOD,BARRANQUILLA,34.0,3400000.0
ABOD,BELLO,1.0,64488.0
ABOD,BOGOTA,4.5,1135000.0
ABOD,BOGOTA,8.5,1580000.0
ABOD,BOGOTA,17.0,2735000.0
ABOD,BOGOTA,34.0,3150000.0
ABOD,BOGOTA PERIM URBANO,4.5,1135000.0
ABOD,BOGOTA PERIM URBANO,8.5,1580000.0
ABOD,BOGOTA PERIM URBANO,17.0,2735000.0
ABOD,BOGOTA PERIM URBANO,34.0,3150000.0
ABOD,BUCARAMANGA,4.5,1455000.0
ABOD,BUCARAMANGA,8.5,1660000.0
ABOD,BUCARAMANGA,17.0,2610000.0
ABOD,BUCARAMANGA,34.0,3820000.0
ABOD,CALDAS,1.0,64488.0
ABOD,CALI,4.5,1135000.0
ABOD,CALI,8.5,1580000.0
ABOD,CALI,17.0,2735000.0
ABOD,CALI,34.0,3860000.0
ABOD,CALOTO,4.5,1340000.0
ABOD,CALOTO,8.5,1550000.0
ABOD,CALOTO,17.0,2745000.0
ABOD,CALOTO,34.0,3045000.0
ABOD,CARTAGENA,4.5,1580000.0
ABOD,CARTAGENA,8.5,2190000.0
ABOD,CARTAGENA,17.0,2650000.0
ABOD,CARTAGENA,34.0,3400000.0
ABOD,CHIGORODO,1.0,64488.0
ABOD,CIENAGA,4.5,1580000.0
ABOD,CIENAGA,8.5,2190000.0
ABOD,CIENAGA,17.0,2310000.0
ABOD,CIENAGA,34.0,3400000.0
ABOD,COPACABANA,4.5,344052.0
ABOD,CUCUTA,4.5,1700000.0
ABOD,CUCUTA,8.5,2065000.0
ABOD,CUCUTA,17.0,3560000.0
ABOD,CUCUTA,34.0,4130000.0
ABOD,EJE CAFETERO,4.5,1090000.0
ABOD,EJE CAFETERO,8.5,1220000.0
ABOD,EJE CAFETERO,17.0,2375000.0
ABOD,EJE CAFETERO,34.0,2735000.0
ABOD,ENVIGADO,1.0,64488.0
ABOD,FACATATIVA,4.5,1135000.0
ABOD,FACATATIVA,8.5,1580000.0
ABOD,FACATATIVA,17.0,2735000.0
ABOD,FACATATIVA,34.0,3150000.0
ABOD,GALAPA,4.5,1580000.0
ABOD,GALAPA,8.5,2190000.0
ABOD,GALAPA,17.0,2310000.0
ABOD,GALAPA,34.0,3400000.0
ABOD,GIRARDOTA,1.0,64488.0
ABOD,GIRON,4.5,1455000.0
ABOD,GIRON,8.5,1660000.0
ABOD,GIRON,17.0,2610000.0
ABOD,GIRON,34.0,3820000.0
ABOD,GUAJIRA,4.5,1085000.0
ABOD,GUAJIRA,8.5,1495000.0
ABOD,GUAJIRA,17.0,3180000.0
ABOD,GUAJIRA,34.0,4390000.0
