,tiempo,producto,transporte,origen,destino,costo,valor_decision
0,1,ADITIVOS,1.0,CGNA_PLANT,ABOD,153600.0,2.0749999999999997
1,1,ADITIVOS,1.0,CGNA_PLANT,BBOD,166400.0,0.05
2,1,ADITIVOS,1.0,CGNA_PLANT,CBOD,173000.0,1.225
3,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,BBOD,166400.0,4.0
4,1,AYUDAS DE PROCESO,1.0,CGNA_PLANT,ABOD,153600.0,9.3
5,1,AYUDAS DE PROCESO,1.0,CGNA_PLANT,BBOD,166400.0,9.5
6,1,AYUDAS DE PROCESO,1.0,CGNA_PLANT,CBOD,173000.0,21.224999999999998
7,1,COMPUESTOS FLEXIBLES,1.0,CGNA_PLANT,BBOD,166400.0,0.6
9,1,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,ABOD,153600.0,0.725
10,1,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,BBOD,166400.0,30.95
11,1,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,CBOD,173000.0,0.6
14,1,COPOLIMERO RANDOM,1.0,CGNA_PLANT,ABOD,153600.0,10.725000000000001
15,1,COPOLIMERO RANDOM,1.0,CGNA_PLANT,BBOD,166400.0,28.325
16,1,COPOLIMERO RANDOM,1.0,CGNA_PLANT,CBOD,173000.0,8.475
18,1,HDPE HMW BIMODAL,1.0,CBOD,CBOD,64488.0,85.0
19,1,HDPE HMW BIMODAL,1.0,CGNA_PLANT,ABOD,153600.0,34.0
20,1,HDPE HMW BIMODAL,1.0,CGNA_PLANT,BBOD,166400.0,68.0
22,1,HDPE SOPLADO,1.0,CGNA_PLANT,ABOD,153600.0,4.0
23,1,HDPE SOPLADO,1.0,CGNA_PLANT,BBOD,166400.0,24.025
24,1,HDPE SOPLADO FORMOLE,1.0,CGNA_PLANT,BBOD,166400.0,18.0
25,1,HDPE SOPLADO FORMOLE,1.0,CGNA_PLANT,CBOD,173000.0,15.0
26,1,HOMOPOLIMERO,34.0,CBOD,CGNA_CEDI,6190000.0,0.3185294117647059
27,1,HOMOPOLIMERO,17.0,CBOD,CGNA_CEDI,4750000.0,0.02011764705882353
28,1,HOMOPOLIMERO,8.5,CBOD,CGNA_CEDI,2990000.0,0.013411764705882354
29,1,HOMOPOLIMERO,4.5,CBOD,CGNA_CEDI,2425000.0,0.025333333333333333
30,1,HOMOPOLIMERO,1.0,CGNA_PLANT,ABOD,153600.0,34.474999999999994
31,1,HOMOPOLIMERO,1.0,CGNA_PLANT,BBOD,166400.0,203.07500000000007
32,1,HOMOPOLIMERO,1.0,CGNA_PLANT,CBOD,173000.0,13.725
34,1,LDPE POLIFEN 641,1.0,CGNA_PLANT,ABOD,153600.0,10.0
37,1,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,ABOD,153600.0,3.55
38,1,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,BBOD,166400.0,2.8249999999999997
39,1,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,CBOD,173000.0,4.125000000000001
41,1,MASTERB. BLANCO B.PS,1.0,CGNA_PLANT,BBOD,166400.0,4.15
43,1,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,ABOD,153600.0,1.8000000000000003
44,1,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,BBOD,166400.0,5.1000000000000005
45,1,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,CBOD,173000.0,0.45
47,1,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,ABOD,153600.0,0.275
48,1,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,BBOD,166400.0,0.22499999999999998
49,1,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,CBOD,173000.0,0.1
50,1,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,ABOD,153600.0,0.7
51,1,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,BBOD,166400.0,3.5499999999999976
52,1,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,CBOD,173000.0,0.125
55,1,OTROS COMPUESTOS,1.0,CBOD,CBOD,64488.0,348.0
56,1,PP REF.FIBRA  VIDRIO,1.0,CGNA_PLANT,BBOD,166400.0,0.325
57,1,PP REFORZADO  CACO3,1.0,CGNA_PLANT,BBOD,166400.0,1.875
58,1,PP REFORZADO  TALCO,1.0,CGNA_PLANT,ABOD,153600.0,0.05
60,2,ADITIVOS,34.0,CBOD,CGNA_CEDI,6190000.0,0.0005308823529411765
61,2,ADITIVOS,17.0,CBOD,CGNA_CEDI,4750000.0,3.352941176470588e-05
62,2,ADITIVOS,8.5,CBOD,CGNA_CEDI,2990000.0,2.235294117647059e-05
63,2,ADITIVOS,4.5,CBOD,CGNA_CEDI,2425000.0,4.222222222222222e-05
64,2,ADITIVOS,1.0,CGNA_PLANT,ABOD,153600.0,1.85
65,2,ADITIVOS,1.0,CGNA_PLANT,BBOD,166400.0,0.1
66,2,ADITIVOS,1.0,CGNA_PLANT,CBOD,173000.0,1.925
67,2,ANTIFIBRILANTES,1.0,CGNA_PLANT,BBOD,166400.0,7.85
68,2,AYUDAS DE PROCESO,1.0,CGNA_PLANT,ABOD,153600.0,22.35
69,2,AYUDAS DE PROCESO,1.0,CGNA_PLANT,BBOD,166400.0,18.625
70,2,AYUDAS DE PROCESO,1.0,CGNA_PLANT,CBOD,173000.0,28.575
71,2,COMPUESTOS FLEXIBLES,1.0,CGNA_PLANT,BBOD,166400.0,2.6
72,2,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,ABOD,153600.0,5.9
73,2,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,BBOD,166400.0,63.25
74,2,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,CBOD,173000.0,7.825
77,2,COPOLIMERO RANDOM,34.0,CBOD,CGNA_CEDI,6190000.0,0.0006985294117647059
78,2,COPOLIMERO RANDOM,17.0,CBOD,CGNA_CEDI,4750000.0,4.411764705882353e-05
79,2,COPOLIMERO RANDOM,8.5,CBOD,CGNA_CEDI,2990000.0,2.9411764705882354e-05
80,2,COPOLIMERO RANDOM,4.5,CBOD,CGNA_CEDI,2425000.0,5.555555555555556e-05
81,2,COPOLIMERO RANDOM,1.0,CGNA_PLANT,ABOD,153600.0,20.05
82,2,COPOLIMERO RANDOM,1.0,CGNA_PLANT,BBOD,166400.0,54.24999999999999
83,2,COPOLIMERO RANDOM,1.0,CGNA_PLANT,CBOD,173000.0,12.1
87,2,HDPE SOPLADO,1.0,CGNA_PLANT,ABOD,153600.0,34.0
91,2,HOMOPOLIMERO,34.0,CBOD,CGNA_CEDI,6190000.0,0.0006985294117647059
92,2,HOMOPOLIMERO,17.0,CBOD,CGNA_CEDI,4750000.0,4.411764705882353e-05
93,2,HOMOPOLIMERO,8.5,CBOD,CGNA_CEDI,2990000.0,2.9411764705882354e-05
94,2,HOMOPOLIMERO,4.5,CBOD,CGNA_CEDI,2425000.0,5.555555555555556e-05
95,2,HOMOPOLIMERO,1.0,CGNA_PLANT,ABOD,153600.0,96.10000000000001
96,2,HOMOPOLIMERO,1.0,CGNA_PLANT,BBOD,166400.0,213.0
97,2,HOMOPOLIMERO,1.0,CGNA_PLANT,CBOD,173000.0,26.224999999999994
101,2,LDPE USO GENERAL,1.0,CBOD,CBOD,64488.0,5.0
102,2,LLDPE HEXENO,1.0,CGNA_PLANT,ABOD,153600.0,5.0
103,2,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,ABOD,153600.0,1.5500000000000003
104,2,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,BBOD,166400.0,7.6000000000000005
105,2,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,CBOD,173000.0,8.7
107,2,MASTERB. BLANCO B.PS,1.0,CGNA_PLANT,BBOD,166400.0,2.875
108,2,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,ABOD,153600.0,4.475
109,2,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,BBOD,166400.0,6.775
110,2,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,CBOD,173000.0,1.4500000000000002
111,2,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,ABOD,153600.0,1.0
112,2,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,BBOD,166400.0,0.7
113,2,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,CBOD,173000.0,0.025
115,2,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,BBOD,166400.0,2.106999999999999
116,2,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,CBOD,173000.0,0.05
118,2,OTROS COMPUESTOS,34.0,CBOD,CGNA_CEDI,6190000.0,0.0006985294117647059
119,2,OTROS COMPUESTOS,17.0,CBOD,CGNA_CEDI,4750000.0,4.411764705882353e-05
120,2,OTROS COMPUESTOS,8.5,CBOD,CGNA_CEDI,2990000.0,2.9411764705882354e-05
121,2,OTROS COMPUESTOS,4.5,CBOD,CGNA_CEDI,2425000.0,5.555555555555556e-05
122,2,PP REF.FIBRA  VIDRIO,1.0,CGNA_PLANT,BBOD,166400.0,0.05
123,2,PP REFORZADO  CACO3,1.0,CGNA_PLANT,BBOD,166400.0,3.825
124,3,ADITIVOS,1.0,CGNA_PLANT,ABOD,153600.0,1.1
125,3,ADITIVOS,1.0,CGNA_PLANT,BBOD,166400.0,0.375
126,3,ADITIVOS,1.0,CGNA_PLANT,CBOD,173000.0,1.65
127,3,ANTIFIBRILANTES,1.0,CGNA_PLANT,BBOD,166400.0,5.225
128,3,AYUDAS DE PROCESO,34.0,CBOD,CGNA_CEDI,6190000.0,0.0006985294117647059
129,3,AYUDAS DE PROCESO,17.0,CBOD,CGNA_CEDI,4750000.0,4.411764705882353e-05
130,3,AYUDAS DE PROCESO,8.5,CBOD,CGNA_CEDI,2990000.0,2.9411764705882354e-05
131,3,AYUDAS DE PROCESO,4.5,CBOD,CGNA_CEDI,2425000.0,5.555555555555556e-05
132,3,AYUDAS DE PROCESO,1.0,CGNA_PLANT,ABOD,153600.0,9.174999999999999
133,3,AYUDAS DE PROCESO,1.0,CGNA_PLANT,BBOD,166400.0,6.075
134,3,AYUDAS DE PROCESO,1.0,CGNA_PLANT,CBOD,173000.0,20.5
136,3,COPOLIMERO IMPACTO,34.0,CBOD,CGNA_CEDI,6190000.0,0.0013970588235294118
137,3,COPOLIMERO IMPACTO,17.0,CBOD,CGNA_CEDI,4750000.0,8.823529411764706e-05
138,3,COPOLIMERO IMPACTO,8.5,CBOD,CGNA_CEDI,2990000.0,5.882352941176471e-05
139,3,COPOLIMERO IMPACTO,4.5,CBOD,CGNA_CEDI,2425000.0,0.00011111111111111112
140,3,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,ABOD,153600.0,4.8
141,3,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,BBOD,166400.0,43.025000000000006
142,3,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,CBOD,173000.0,4.35
145,3,COPOLIMERO RANDOM,34.0,CBOD,CGNA_CEDI,6190000.0,0.0006985294117647059
146,3,COPOLIMERO RANDOM,17.0,CBOD,CGNA_CEDI,4750000.0,4.411764705882353e-05
147,3,COPOLIMERO RANDOM,8.5,CBOD,CGNA_CEDI,2990000.0,2.9411764705882354e-05
148,3,COPOLIMERO RANDOM,4.5,CBOD,CGNA_CEDI,2425000.0,5.555555555555556e-05
149,3,COPOLIMERO RANDOM,1.0,CGNA_PLANT,ABOD,153600.0,11.424999999999999
150,3,COPOLIMERO RANDOM,1.0,CGNA_PLANT,BBOD,166400.0,52.224999999999994
151,3,COPOLIMERO RANDOM,1.0,CGNA_PLANT,CBOD,173000.0,5.575
156,3,HDPE HMW BIMODAL,1.0,CBOD,CBOD,64488.0,28.0
160,3,HDPE SOPLADO (HMW),1.0,CBOD,CBOD,64488.0,70.125
161,3,HDPE SOPLADO (HMW),1.0,CGNA_PLANT,CBOD,173000.0,70.125
163,3,HDPE SOPLADO FORMOLE,1.0,CGNA_PLANT,BBOD,166400.0,10.0
165,3,HOMOPOLIMERO,34.0,CBOD,CGNA_CEDI,6190000.0,0.0013970588235294118
166,3,HOMOPOLIMERO,17.0,CBOD,CGNA_CEDI,4750000.0,8.823529411764706e-05
167,3,HOMOPOLIMERO,8.5,CBOD,CGNA_CEDI,2990000.0,5.882352941176471e-05
168,3,HOMOPOLIMERO,4.5,CBOD,CGNA_CEDI,2425000.0,0.00011111111111111112
169,3,HOMOPOLIMERO,1.0,CGNA_PLANT,ABOD,153600.0,9.725
170,3,HOMOPOLIMERO,1.0,CGNA_PLANT,BBOD,166400.0,200.45
171,3,HOMOPOLIMERO,1.0,CGNA_PLANT,CBOD,173000.0,4.675
176,3,LDPE USO GENERAL,1.0,ABOD,ABOD,64488.0,32.0
182,3,LLDPE BUT (M.I. 1)CA,1.0,CBOD,CBOD,64488.0,44.75
183,3,LLDPE BUT (M.I. 1)CA,1.0,CGNA_PLANT,ABOD,153600.0,34.0
184,3,LLDPE BUT (M.I. 1)CA,1.0,CGNA_PLANT,BBOD,166400.0,34.0
185,3,LLDPE HEXENO,1.0,CGNA_PLANT,BBOD,166400.0,24.0
186,3,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,ABOD,153600.0,2.6000000000000005
187,3,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,BBOD,166400.0,4.85
188,3,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,CBOD,173000.0,6.675
189,3,MASTERB. BLANCO B.PS,1.0,CGNA_PLANT,BBOD,166400.0,1.5750000000000002
191,3,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,ABOD,153600.0,1.425
192,3,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,BBOD,166400.0,3.55
193,3,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,CBOD,173000.0,2.65
194,3,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,ABOD,153600.0,3.025
195,3,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,BBOD,166400.0,0.35
196,3,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,CBOD,173000.0,0.025
198,3,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,ABOD,153600.0,0.30000000000000004
199,3,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,BBOD,166400.0,1.6000000000000003
201,3,OTROS COMPUESTOS,1.0,CGNA_PLANT,BBOD,166400.0,1.0
203,3,PP REF.FIBRA  VIDRIO,1.0,CGNA_PLANT,BBOD,166400.0,0.45
204,3,PP REFORZADO  CACO3,1.0,CGNA_PLANT,BBOD,166400.0,1.9
206,4,ADITIVOS,1.0,CGNA_PLANT,ABOD,153600.0,0.1
207,4,ADITIVOS,1.0,CGNA_PLANT,CBOD,173000.0,1.5250000000000001
209,4,ANTIFIBRILANTES,1.0,CGNA_PLANT,BBOD,166400.0,2.0999999999999996
213,4,AYUDAS DE PROCESO,1.0,CGNA_PLANT,ABOD,153600.0,13.075
214,4,AYUDAS DE PROCESO,1.0,CGNA_PLANT,BBOD,166400.0,0.2
215,4,AYUDAS DE PROCESO,1.0,CGNA_PLANT,CBOD,173000.0,7.424999999999999
217,4,COMPUESTOS FLEXIBLES,1.0,CGNA_PLANT,BBOD,166400.0,1.325
221,4,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,ABOD,153600.0,2.675
