,tiempo,producto,transporte,origen,destino,costo,valor_decision
0,1,ADITIVOS,4.5,BUEN_PORT,CGNA_PLANT,2425000.0,0.0
1,1,ADITIVOS,8.5,BUEN_PORT,CGNA_PLANT,2990000.0,0.0
2,1,ADITIVOS,17.0,BUEN_PORT,CGNA_PLANT,4750000.0,0.0
3,1,ADITIVOS,34.0,BUEN_PORT,CGNA_PLANT,6190000.0,0.0
4,1,ADITIVOS,4.5,BUEN_PORT,ABOD,1085000.0,0.0
5,1,ADITIVOS,8.5,BUEN_PORT,ABOD,1495000.0,0.0
6,1,ADITIVOS,17.0,BUEN_PORT,ABOD,3400000.0,0.0
7,1,ADITIVOS,34.0,BUEN_PORT,ABOD,4390000.0,0.0
8,1,ADITIVOS,1.0,BUEN_PORT,CBOD,64488.0,0.0
9,1,ADITIVOS,4.5,BUEN_PORT,BBOD,1085000.0,0.0
10,1,ADITIVOS,8.5,BUEN_PORT,BBOD,1495000.0,0.0
11,1,ADITIVOS,17.0,BUEN_PORT,BBOD,3180000.0,0.0
12,1,ADITIVOS,34.0,BUEN_PORT,BBOD,4390000.0,0.0
13,1,ADITIVOS,4.5,BUEN_PORT,CGNA_CEDI,2425000.0,0.0
14,1,ADITIVOS,8.5,BUEN_PORT,CGNA_CEDI,2990000.0,0.0
15,1,ADITIVOS,17.0,BUEN_PORT,CGNA_CEDI,4750000.0,0.0
16,1,ADITIVOS,34.0,BUEN_PORT,CGNA_CEDI,6190000.0,0.0
17,1,ADITIVOS,999.0,CGNA_PLANT,CGNA_PORT,1.0,0.0
18,1,ADITIVOS,1.0,CGNA_PLANT,ABOD,153600.0,0.0
19,1,ADITIVOS,1.0,CGNA_PLANT,CBOD,173000.0,0.0
20,1,ADITIVOS,1.0,CGNA_PLANT,BBOD,166400.0,0.0
21,1,ADITIVOS,1.0,CGNA_PORT,CGNA_PLANT,64488.0,0.0
22,1,ADITIVOS,999.0,MB_PLANT,CGNA_PORT,1.0,0.0455955955955956
23,1,ADITIVOS,1.0,MB_PLANT,ABOD,153600.0,1.5250000000000001
24,1,ADITIVOS,1.0,MB_PLANT,CBOD,173000.0,3.575
25,1,ADITIVOS,1.0,MB_PLANT,BBOD,166400.0,5.475
26,1,ADITIVOS,1.0,CGNA_PLANT,BARRANQUILLA,80000.0,0.0
27,1,ADITIVOS,1.0,CGNA_PLANT,BOGOTA,166400.0,0.0
28,1,ADITIVOS,1.0,CGNA_PLANT,BUCARAMANGA,97059.0,0.0
29,1,ADITIVOS,1.0,CGNA_PLANT,CALI,173000.0,0.0
30,1,ADITIVOS,1.0,CGNA_PLANT,CARTAGENA,1000.0,0.0
31,1,ADITIVOS,1.0,CGNA_PLANT,GINEBRA,160000.0,0.0
32,1,ADITIVOS,1.0,CGNA_PLANT,MEDELLIN,153600.0,0.0
33,1,ADITIVOS,1.0,CGNA_PLANT,PEREIRA,176380.0,0.0
34,1,ADITIVOS,1.0,CGNA_PLANT,TOCANCIPA,160000.0,0.0
35,1,ADITIVOS,4.5,ABOD,BARRANQUILLA,1580000.0,0.0
36,1,ADITIVOS,8.5,ABOD,BARRANQUILLA,2190000.0,0.0
37,1,ADITIVOS,17.0,ABOD,BARRANQUILLA,2310000.0,0.0
38,1,ADITIVOS,34.0,ABOD,BARRANQUILLA,3400000.0,0.0
39,1,ADITIVOS,4.5,ABOD,BOGOTA,1135000.0,0.0
40,1,ADITIVOS,8.5,ABOD,BOGOTA,1580000.0,0.0
41,1,ADITIVOS,17.0,ABOD,BOGOTA,2735000.0,0.0
42,1,ADITIVOS,34.0,ABOD,BOGOTA,3150000.0,0.0
43,1,ADITIVOS,4.5,ABOD,BUCARAMANGA,1455000.0,0.0
44,1,ADITIVOS,8.5,ABOD,BUCARAMANGA,1660000.0,0.0
45,1,ADITIVOS,17.0,ABOD,BUCARAMANGA,2610000.0,0.0
46,1,ADITIVOS,34.0,ABOD,BUCARAMANGA,3820000.0,0.0
47,1,ADITIVOS,4.5,ABOD,CALI,1135000.0,0.0
48,1,ADITIVOS,8.5,ABOD,CALI,1580000.0,0.0
49,1,ADITIVOS,17.0,ABOD,CALI,2735000.0,0.0
50,1,ADITIVOS,34.0,ABOD,CALI,3860000.0,0.0
51,1,ADITIVOS,4.5,ABOD,CARTAGENA,1580000.0,0.0
52,1,ADITIVOS,8.5,ABOD,CARTAGENA,2190000.0,0.0
53,1,ADITIVOS,17.0,ABOD,CARTAGENA,2650000.0,0.0
