id_ciudad_destino,id_ciudad_destino_homologado
COTA,BOGOTA
FUNZA,BOGOTA
TOCANCIPA,BOGOTA
COPACABANA,MEDELLIN
ENVIGADO,MEDELLIN
ITAGUI,MEDELLIN
LA ESTRELLA,MEDELLIN
DOSQUEBRADAS,PEREIRA
GUACHENE,CALOTO
MADRID,BOGOTA
SOACHA,BOGOTA
ZIPAQUIRA,BOGOTA
YUMBO,CALI
PALMIRA,CALI
GIRON,BUCARAMANGA
CAJICA,BOGOTA
PIEDECUESTA,BUCARAMANGA
MOSQUERA,BOGOTA
CHIA,BOGOTA
GIRARDOTA,MEDELLIN
PUERTO TEJADA,CALI
TENJO,BOGOTA
SABANETA,MEDELLIN
GUARNE,MEDELLIN
BOGOTA-DISTRITO CAPITAL,BOGOTA
CAJICA,BOGOTA
BELEN,DUITAMA
TABIO,BOGOTA
FACATATIVA,BOGOTA
BELLO,MEDELLIN
SIBERIA,BOGOTA
FUSAGASUGA,BOGOTA
CALDAS,MANIZALES
MARINILLA,RIONEGRO
SANTANDER DE QUILICHAO,CALOTO
GUADALAJARA DE BUGA,EL CERRITO
CHIGORODO,APARTADO
SIBATE,BOGOTA
ITAGÜI,MEDELLIN
LA CEJA,MEDELLIN
SANTA ROSA DE CABAL,PEREIRA
