,mes,familia,id_ciudad_origen,id_ciudad_destino,cantidad,Unnamed: 0,capacidad,costo,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2,1,ADITIVOS,CGNA_PORT,PALMIRA,0.07500000000000001,,,,,,,
13,1,COPOLIMERO IMPACTO,CGNA_PORT,BOGOTA,50.0,,,,,,,
16,1,COPOLIMERO IMPACTO,CGNA_PORT,CARTAGENA,27.45,,,,,,,
25,1,COPOLIMERO IMPACTO,CGNA_PORT,GUACHENE,23.0,,,,,,,
60,1,COPOLIMERO IMPACTO,CGNA_PORT,TOCANCIPA,34.0,,,,,,,
62,1,COPOLIMERO IMPACTO,CGNA_PORT,VILLA RICA,16.0,,,,,,,
65,1,COPOLIMERO IMPACTO,CGNA_PORT,ZIPAQUIRA,1.5,,,,,,,
66,1,COPOLIMERO IMPACTO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,11.375,,,,,,,
68,1,COPOLIMERO RANDOM,CGNA_PORT,ATE,13.5,,,,,,,
70,1,COPOLIMERO RANDOM,CGNA_PORT,BOGOTA,33.5,,,,,,,
76,1,COPOLIMERO RANDOM,CGNA_PORT,CARTAGENA,109.775,,,,,,,
85,1,COPOLIMERO RANDOM,CGNA_PORT,GUACHENE,10.0,,,,,,,
99,1,COPOLIMERO RANDOM,CGNA_PORT,PALMIRA,26.4,,,,,,,
115,1,COPOLIMERO RANDOM,CGNA_PORT,VILLA RICA,20.0,,,,,,,
120,1,HOMOPOLIMERO,CGNA_PORT,ATE,13.5,,,,,,,
122,1,HOMOPOLIMERO,CGNA_PORT,BOGOTA,11.0,,,,,,,
129,1,HOMOPOLIMERO,CGNA_PORT,CARTAGENA,442.84999999999997,,,,,,,
140,1,HOMOPOLIMERO,CGNA_PORT,GUACHENE,68.0,,,,,,,
157,1,HOMOPOLIMERO,CGNA_PORT,"MOCOCHA, YUCATAN",48.0,,,,,,,
161,1,HOMOPOLIMERO,CGNA_PORT,PALMIRA,2169.6,,,,,,,
171,1,HOMOPOLIMERO,CGNA_PORT,RIONEGRO,34.0,,,,,,,
180,1,HOMOPOLIMERO,CGNA_PORT,"SECTOR EL MAMON, ARAGUA",25.0,,,,,,,
181,1,HOMOPOLIMERO,CGNA_PORT,SIBERIA,10.0,,,,,,,
183,1,HOMOPOLIMERO,CGNA_PORT,TOCANCIPA,1.0,,,,,,,
186,1,HOMOPOLIMERO,CGNA_PORT,VILLA RICA,3.0,,,,,,,
190,1,LDPE POLIFEN 641,CGNA_PORT,CARTAGENA,1.0,,,,,,,
194,1,LDPE POLIFEN 641,CGNA_PORT,TOCANCIPA,8.0,,,,,,,
195,1,LDPE POLIFEN 641,CGNA_PORT,VILLA RICA,1.0,,,,,,,
196,1,LLDPE BUT (M.I. 1)CA,CGNA_PORT,CARTAGENA,36.6,,,,,,,
201,1,MASTERB. BLANCO B.PE,CGNA_PORT,GUACHENE,0.025,,,,,,,
204,1,MASTERB. BLANCO B.PE,CGNA_PORT,TOCANCIPA,0.05,,,,,,,
205,1,MASTERB. BLANCO B.PP,CGNA_PORT,CARTAGENA,0.975,,,,,,,
210,1,MASTERB. NEGRO B.PE,CGNA_PORT,TOCANCIPA,0.30000000000000004,,,,,,,
213,1,MASTERB. NEGRO B.PP,CGNA_PORT,VILLA RICA,2.975,,,,,,,
215,1,MASTERBATCH DE COLOR,CGNA_PORT,CALOTO,0.2,,,,,,,
216,1,MASTERBATCH DE COLOR,CGNA_PORT,FUNZA,2.0,,,,,,,
219,1,MASTERBATCH DE COLOR,CGNA_PORT,TOCANCIPA,1.7819999999999998,,,,,,,
220,1,OTROS COMPUESTOS,CGNA_PORT,CALOTO,0.006,,,,,,,
225,1,OTROS COMPUESTOS,CGNA_PORT,TOCANCIPA,0.012,,,,,,,
228,1,RESINAS GRANULAR,CGNA_PORT,CARTAGENA,11.699,,,,,,,
