año,mes,ID Pedido,sku,sku_descripcion,familia,linea_negocio,cantidad,id_ciudad_destino
2019,1,50072681,1000049,COPOLIMERO I. 06C30DA BOLSAS 25 KG,Copolimero Impacto,PP,5.000,Zona Franca Rionegro Antioquia
2019,1,50072683,1000049,COPOLIMERO I. 06C30DA BOLSAS 25 KG,Copolimero Impacto,PP,5.725,Zona Franca Rionegro Antioquia
2019,1,50072717,1000244,COPOLIMERO I. 25C35-EC BOLSAS 25 KG,Copolimero Impacto,PP,24.000,San Pedro Sula
2019,1,50072763,6102,724-10DB,Otros Compuestos,MB,0.006,Hospital
2019,1,50072767,6102,720-10AO,Otros Compuestos,MB,0.005,Hospital
2019,1,50072771,6102,664-2BA,Otros Compuestos,MB,0.007,Hospital
2019,1,50072783,6102,722-3NT,Otros Compuestos,MB,0.006,Hospital
2019,1,50072784,6102,722-4NT,Otros Compuestos,MB,0.005,Hospital
2019,1,50072791,1000243,HOMOPOLIMERO 05H82-AV BOLSAS 25 KG,Homopolimero,PP,22.500,CARTAGENA
2019,1,50072796,1000038,HOMOPOLIMERO 20H10NA BOLSAS 25 KG,Homopolimero,PP,20.000,Santa Rosa Jáuregui
2019,1,50072809,1000199,HOMOPOLYMER 35H35 25 KG. BAGS,Homopolimero,PP,25.500,Vitória da Conquista
2019,1,50072812,1000314,HOMOPOLYMER 20H10NA-AD BIG BAG 980 KG,Homopolimero,PP,19.600,Cheshire
2019,1,50072814,1000314,HOMOPOLYMER 20H10NA-AD BIG BAG 980 KG,Homopolimero,PP,19.600,Cheshire
2019,1,50072818,1000005,HOMOPOLYMER 03H82 BAGS OF 25 KG,Homopolimero,PP,1.000,Cheshire
2019,1,50072818,1000314,HOMOPOLYMER 20H10NA-AD BIG BAG 980 KG,Homopolimero,PP,18.620,Cheshire
2019,1,50072818,1000314,HOMOPOLYMER 20H10NA-AD BIG BAG 980 KG,Homopolimero,PP,19.600,Cheshire
2019,1,50072819,100789,DEVELOPMENT PRODUCT. IMPACT COPOLYMER,#N/A,#N/A,0.225,Cheshire
2019,1,50072819,1000036,HOMOPOLYMER 12H95A BAGS OF 25 KGS,Homopolimero,PP,0.050,Cheshire
2019,1,50072819,1000314,HOMOPOLYMER 20H10NA-AD BIG BAG 980 KG,Homopolimero,PP,19.600,Cheshire
2019,1,50072821,100789,DEVELOPMENT PRODUCT. IMPACT COPOLYMER,#N/A,#N/A,0.250,Cheshire
2019,1,50072821,1000243,HOMOPOLIMERO  05H82-AV EN BOLSAS  25 KG,Homopolimero,PP,0.025,Cheshire
2019,1,50072821,1000314,HOMOPOLYMER 20H10NA-AD BIG BAG 980 KG,Homopolimero,PP,19.600,Cheshire
2019,1,50072823,1000140,HOMOPOLYMER 18H86 IN BIG BAG 980 KG,Homopolimero,PP,19.600,Cheshire
2019,1,50072824,1000140,HOMOPOLYMER 18H86 IN BIG BAG 980 KG,Homopolimero,PP,19.600,Cheshire
2019,1,50072847,1000143,IMPACT COPOLYMER 80C13NA BBAG 980,Copolimero Impacto,PP,19.600,Cheshire
2019,1,50072849,1000143,IMPACT COPOLYMER 80C13NA BBAG 980,Copolimero Impacto,PP,19.600,Cheshire
2019,1,50072896,1000003,HOMOPOLYMER 02H84ND BAGS OF 25 KG,Homopolimero,PP,1.500,ITAPECERICA DA SERRA
2019,1,50072896,1000044,COPOLYMER OF PROPYLENE 10R10C 25 KG,Copolimero Random,PP,24.000,ITAPECERICA DA SERRA
2019,1,50072901,1000007,COPOLIMERO R. 07R87 BOLSAS 25 KG,Copolimero Random,PP,20.000,CIUDAD DE MEXICO
2019,1,50072934,1000241,COPOLIMERO I. 16C12NA BOLSAS 25 KG,Copolimero Impacto,PP,20.000,Reg de México
2019,1,50072942,1000176,HOMOPOLIMERO 03H82 BIG BAG 850 KG,Homopolimero,PP,34.000,Guachene
2019,1,50072943,1000005,HOMOPOLIMERO 03H82 BOLSAS 25 KG,Homopolimero,PP,34.000,Guachene
2019,1,50072946,1000042,COPOLIMERO R. 01R25 BOLSAS 25 KG,Copolimero Random,PP,27.000,Lima
2019,1,50072955,1000034,HOMOPOLIMERO 11H01A BOLSAS 25 KG,Homopolimero,PP,10.000,BOGOTA
2019,1,50072955,1000045,COPOLIMERO R. 12R88A BOLSAS DE 25 KG,Copolimero Random,PP,15.000,BOGOTA
2019,1,50072955,1000071,COPOLIMERO R. 80R90CD BOLSAS 25 KG,Copolimero Random,PP,7.000,BOGOTA
2019,1,50072955,1000071,COPOLIMERO R. 80R90CD BOLSAS 25 KG,Copolimero Random,PP,8.000,BOGOTA
2019,1,50072958,1000236,IMPACT COPOLYMER 05C06 BAGS OF 25 KG,Copolimero Impacto,PP,12.000,Manaus
2019,1,50072984,1000177,COPOLIMERO R. 02R01CA-1 BOLSAS 25 KG,Copolimero Random,PP,7.000,CARTAGENA
2019,1,50072986,1000052,HOMOPOLIMERO 03H82NA-TAR BIG BAG 850 KG,Homopolimero,PP,10.200,CARTAGENA
2019,1,50072986,1000052,HOMOPOLIMERO 03H82NA-TAR BIG BAG 850 KG,Homopolimero,PP,17.000,CARTAGENA
2019,1,50072994,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,Homopolimero,PP,158.400,PALMIRA
2019,1,50072998,1000039,COPOLIMERO R. 07R87DB BOLSAS 25 KG,Copolimero Random,PP,3.500,BOGOTA
2019,1,50072998,1000151,COPOLIMERO I. 05C06T-B BOLSAS 25 KG,Copolimero Impacto,PP,25.000,BOGOTA
2019,1,50072999,1000151,COPOLIMERO I. 05C06T-B BOLSAS 25 KG,Copolimero Impacto,PP,25.000,BOGOTA
2019,1,50073003,5225,665-7BL,Masterb. Blanco B.PE,MB,1.000,Ciudad de Guatemala
2019,1,50073003,1000224,COPOLIMERO I. 60C90ND BOLSAS 25 KG,Copolimero Impacto,PP,14.000,Ciudad de Guatemala
2019,1,50073003,1000239,COPOLIMERO R.02R01CA-EAT BOLSAS 25 KG,Copolimero Random,PP,2.000,Ciudad de Guatemala
2019,1,50073003,1000246,COPOLIMERO I. 80C13NA BOLSAS 25 KG,Copolimero Impacto,PP,5.000,Ciudad de Guatemala
2019,1,50073005,1000052,HOMOPOLIMERO 03H82NA-TAR BIG BAG 850 KG,Homopolimero,PP,90.950,CARTAGENA
2019,1,50073005,1000129,HOMOPOLIMERO 02H82-AC BIG BAG 850 KG,Homopolimero,PP,17.000,CARTAGENA
2019,1,50073007,1000177,COPOLIMERO R. 02R01CA-1 BOLSAS 25 KG,Copolimero Random,PP,16.000,CARTAGENA
2019,1,50073009,1000179,HOMOPOLIMERO 03H83A BIG BAG 850 KG,Homopolimero,PP,10.200,CARTAGENA
2019,1,50073011,1000046,COPOLIMERO I. 01C25 BOLSAS 25 KG,Copolimero Impacto,PP,3.000,CARTAGENA
2019,1,50073027,1000243,HOMOPOLIMERO 05H82-AV BOLSAS 25 KG,Homopolimero,PP,26.000,Haina
2019,1,50073029,1000050,COPOLYMER 12C20 BAGS OF 25 KGS,Copolimero Impacto,PP,25.500,Itajai
2019,1,50073030,1000050,COPOLYMER 12C20 BAGS OF 25 KGS,Copolimero Impacto,PP,25.500,Itajai
2019,1,50073040,1000041,HOMOPOLIMERO 40H92N BOLSAS 25 KG,Homopolimero,PP,27.000,Lima
2019,1,50073041,1000122,HOMOPOLIMERO 20H92N BOLSAS 25 KG,Homopolimero,PP,27.000,Lima
2019,1,50073042,1000041,HOMOPOLIMERO 40H92N BOLSAS 25 KG,Homopolimero,PP,13.500,Lima
2019,1,50073042,1000122,HOMOPOLIMERO 20H92N BOLSAS 25 KG,Homopolimero,PP,13.500,Lima
2019,1,50073043,1000122,HOMOPOLIMERO 20H92N BOLSAS 25 KG,Homopolimero,PP,27.000,Lima
2019,1,50073045,1000122,POLYPROPYLENE 20H92N,Homopolimero,PP,25.500,Varginha
2019,1,50073047,1000044,COPOLYMER OF PROPYLENE 10R10C 25 KG,Copolimero Random,PP,13.500,Varginha
2019,1,50073047,1000122,POLYPROPYLENE 20H92N,Homopolimero,PP,12.000,Varginha
2019,1,50073048,1000122,POLYPROPYLENE 20H92N,Homopolimero,PP,25.500,Varginha
2019,1,50073049,1000044,COPOLYMER OF PROPYLENE 10R10C 25 KG,Copolimero Random,PP,25.500,Varginha
2019,1,50073051,1000042,COPOLIMERO R. 01R25 BOLSAS 25 KG,Copolimero Random,PP,10.400,Curridabat
2019,1,50073051,1000048,COPOLIMERO I. 05C05 BOLSAS 25 KG,Copolimero Impacto,PP,15.600,Curridabat
2019,1,50073082,1000262,COPOLIMERO I. 35C14NA BOLSA 25 KG,Copolimero Impacto,PP,20.000,Puebla
2019,1,50073087,1000007,COPOLYMER PROPYLENE 07R87,Copolimero Random,PP,25.500,Itamonte
2019,1,50073088,1000199,HOMOPOLYMER 35H35 25 KG. BAGS,Homopolimero,PP,24.750,CAÇADOR
2019,1,50073092,1000199,HOMOPOLYMER 35H35 25 KG. BAGS,Homopolimero,PP,25.500,Vitória da Conquista
2019,1,50073098,1000000,Homopolymer ref. 01H41,Homopolimero,PP,25.500,Cambui
2019,1,50073100,1000209,COPOLYMER R. 45R60CD BAGS OF 25 KG,Copolimero Random,PP,25.500,Cambui
2019,1,50073111,1000242,HOMOPOLYMER 03H83-AV BAGS OF 25 KG,Homopolimero,PP,25.500,Cambui
2019,1,50073112,1000037,HOMOPOLYMER 18H86 BAGS OF 25 KG,Homopolimero,PP,25.500,Cambui
2019,1,50073115,1000000,Homopolymer ref. 01H41,Homopolimero,PP,25.500,Cambui
2019,1,50073116,1000000,Homopolymer ref. 01H41,Homopolimero,PP,25.500,Cambui
2019,1,50073118,1000038,POLYPROPYLENE HOMOPOLYMER 20H10NA,Homopolimero,PP,25.500,Cambui
2019,1,50073119,1000038,POLYPROPYLENE HOMOPOLYMER 20H10NA,Homopolimero,PP,25.500,Cambui
2019,1,50073126,1000201,POLYPROPYLENE 11H01-R2,Homopolimero,PP,25.500,CRICIUMA
2019,1,50073133,1000034,HOMOPOLIMERO 11H01A BOLSAS 25 KG,Homopolimero,PP,24.000,Ciudad de Guatemala
2019,1,50073134,5025,663-2BL,Masterb. Blanco B.PE,MB,0.700,Guayaquil
2019,1,50073134,5044,745-2AS,ADITIVOS,MB,0.150,Guayaquil
2019,1,50073134,6098,30076AMPE,Masterbatch de Color,MB,0.150,Guayaquil
2019,1,50073134,1000046,COPOLIMERO I. 01C25 BOLSAS 25 KG,Copolimero Impacto,PP,3.500,Guayaquil
2019,1,50073134,1000216,COPOLIMERO R. 03R45C BOLSAS 25 KG,Copolimero Random,PP,6.000,Guayaquil
2019,1,50073134,1000242,HOMOPOLIMERO 03H83-AV BOLSAS 25 KG,Homopolimero,PP,16.500,Guayaquil
2019,1,50073137,1000212,IMPACT COPOLYMER 130C80ND BAGS OF 25KG,Copolimero Impacto,PP,25.500,RODEIO
2019,1,50073139,1000212,COPOLIMERO I. 130C80ND BOLSAS 25 KG,Copolimero Impacto,PP,27.000,Guayaquil
2019,1,50073140,1000212,COPOLIMERO I. 130C80ND BOLSAS 25 KG,Copolimero Impacto,PP,27.000,Guayaquil
2019,1,50073141,1000049,COPOLIMERO I. 06C30DA BOLSAS 25 KG,Copolimero Impacto,PP,27.000,Guayaquil
2019,1,50073142,1000049,COPOLIMERO I. 06C30DA BOLSAS 25 KG,Copolimero Impacto,PP,27.000,Guayaquil
2019,1,50073143,1000090,COPOLYMER PROPYLENE 80R90CD BIG BAG 1200,Copolimero Random,PP,19.200,Le Mars
2019,1,50073144,1000090,COPOLYMER PROPYLENE 80R90CD BIG BAG 1200,Copolimero Random,PP,19.200,Le Mars
2019,1,50073157,1000311,IMPACT COPOLYMER 12C20 BIG BAG 980 KG,Copolimero Impacto,PP,19.600,Cheshire
2019,1,50073160,1000300,COPOLYMER I. 06C30DA BIG BAG 980 KG,Copolimero Impacto,PP,19.600,Cheshire
2019,1,50073179,1000209,COPOLYMER R. 45R60CD BAGS OF 25 KG,Copolimero Random,PP,25.500,PORTO VELHO
2019,1,50073180,1000209,COPOLYMER R. 45R60CD BAGS OF 25 KG,Copolimero Random,PP,25.500,PORTO VELHO
2019,1,50073190,1000220,POLYPROPYLENE 08H85DB-BC Bags 25 Kg,Homopolimero,PP,25.500,PORTO VELHO
2019,1,50073203,1000003,HOMOPOLYMER 02H84ND BAGS OF 25 KG,Homopolimero,PP,25.500,PORTO VELHO
2019,1,50073203,1000040,POLIPROPYLENE 40H92 Bags 25 KG,Homopolimero,PP,25.500,PORTO VELHO
