id_viaje,fecha,Tipo de Transporte,id_ciudad_origen,Origen (Nombre),id_ciudad_destino,Destino (Nombre),sku,SKU (Descripción),cantidad
4901878013,1/2/2019,camion,CGNA,CENTRO CARTAGENA,ABOD,CEDI MEDELLIN,4285,LDPE POLIFEN 641,-10000
4901878022,1/2/2019,camion,CBOD,CEDI CALI,CBOD,CEDI CALI,7443,PP NSY114G,-31000
4901878022,1/2/2019,camion,CBOD,CEDI CALI,CBOD,CEDI CALI,7443,PP NSY114G,-3000
4901878020,1/2/2019,camion,CBOD,CEDI CALI,BBOD,CEDI BOGOTA,7443,PP NSY114G,-7000
4901878020,1/2/2019,camion,CBOD,CEDI CALI,BBOD,CEDI BOGOTA,7443,PP NSY114G,-27000
4901878019,1/2/2019,camion,CBOD,CEDI CALI,CBOD,CEDI CALI,7443,PP NSY114G,-34000
4901878018,1/2/2019,camion,CBOD,CEDI CALI,BBOD,CEDI BOGOTA,7443,PP NSY114G,-34000
4901878082,1/2/2019,camion,CBOD,CEDI CALI,ABOD,CEDI MEDELLIN,7443,PP NSY114G,-15000
4901877932,1/2/2019,camion,CGNA,CENTRO CARTAGENA,BBOD,CEDI BOGOTA,1000034,HOMOPOLIMERO 11H01A BOLSAS 25 KG,-450
4901877931,1/2/2019,camion,CGNA,CENTRO CARTAGENA,BBOD,CEDI BOGOTA,1000040,HOMOPOLIMERO 40H92 BOLSAS 25 KG,-1000
4901877932,1/2/2019,camion,CGNA,CENTRO CARTAGENA,BBOD,CEDI BOGOTA,1000122,HOMOPOLIMERO 20H92N BOLSAS 25 KG,-300
4901877888,1/2/2019,camion,CGNA,CENTRO CARTAGENA,BBOD,CEDI BOGOTA,1000204,HOMOPOLIMERO 25H35-SB BOLSAS 25 KG,-8400
4901877927,1/2/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901877926,1/2/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901877915,1/2/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901877931,1/2/2019,camion,CGNA,CENTRO CARTAGENA,BBOD,CEDI BOGOTA,1000241,COPOLIMERO I. 16C12NA BOLSAS 25 KG,-25
4901878470,1/3/2019,camion,CBOD,CEDI CALI,ABOD,CEDI MEDELLIN,4211,POLIETILENO LLDPE EXELENE 1401,-20000
4901878330,1/3/2019,camion,CBOD,CEDI CALI,ABOD,CEDI MEDELLIN,7443,PP NSY114G,-9000
4901878330,1/3/2019,camion,CBOD,CEDI CALI,ABOD,CEDI MEDELLIN,7443,PP NSY114G,-25000
4901878492,1/3/2019,camion,CBOD,CEDI CALI,BBOD,CEDI BOGOTA,7443,PP NSY114G,-12500
4901878297,1/3/2019,camion,CBOD,CEDI CALI,CBOD,CEDI CALI,7443,PP NSY114G,-34000
4901878496,1/3/2019,camion,CBOD,CEDI CALI,BBOD,CEDI BOGOTA,7443,PP NSY114G,-34000
4901878492,1/3/2019,camion,CBOD,CEDI CALI,BBOD,CEDI BOGOTA,7443,PP NSY114G,-21500
4901878323,1/3/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000000,HOMOPOLIMERO 01H41 BOLSAS 25 KG,-5300
4901878323,1/3/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000039,COPOLIMERO R. 07R87DB BOLSAS 25 KG,-4500
4901878550,1/3/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878491,1/3/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878476,1/3/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878444,1/3/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878342,1/3/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878322,1/3/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878911,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CBOD,CEDI CALI,5283,664-3BL,-200
4901878911,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CBOD,CEDI CALI,6020,681-1NE,-50
4901878911,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CBOD,CEDI CALI,6191,752-4NT,-250
4901878909,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CBOD,CEDI CALI,6756,750-8NT,-525
4901878909,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CBOD,CEDI CALI,6756,750-8NT,-1975
4901878855,1/4/2019,camion,CGNA,CENTRO CARTAGENA,BBOD,CEDI BOGOTA,6756,750-8NT,-1575
4901878882,1/4/2019,camion,CGNA,CENTRO CARTAGENA,ABOD,CEDI MEDELLIN,6756,750-8NT,-5000
4901878857,1/4/2019,camion,CGNA,CENTRO CARTAGENA,BBOD,CEDI BOGOTA,6756,750-8NT,-3425
4901878910,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CBOD,CEDI CALI,1000038,HOMOPOLIMERO 20H10NA BOLSAS 25 KG,-1100
4901878910,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CBOD,CEDI CALI,1000038,HOMOPOLIMERO 20H10NA BOLSAS 25 KG,-900
4901878630,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000045,COPOLIMERO R. 12R88A BOLSAS DE 25 KG,-9000
4901878674,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878870,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878721,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
4901878688,1/4/2019,camion,CGNA,CENTRO CARTAGENA,CGNA,CENTRO CARTAGENA ,1000234,HOMOPOLIMERO 25H35-SB BIG BAG 1200 KG,-24000
